Token			Lexeme
KEYWORD			function
IDENTIFIER			multiply
SEPARATOR			(
IDENTIFIER			xA
SEPARATOR			:
KEYWORD			int
SEPARATOR			,
IDENTIFIER			yB
SEPARATOR			:
KEYWORD			int
SEPARATOR			)
SEPARATOR			{
KEYWORD			return
IDENTIFIER			xA
OPERATOR			*
IDENTIFIER			yB
SEPARATOR			;
SEPARATOR			}
KEYWORD			$$
KEYWORD			int
IDENTIFIER			xA
SEPARATOR			,
IDENTIFIER			yB
SEPARATOR			;
IDENTIFIER			xA
OPERATOR			=
INTEGER			5
SEPARATOR			;
IDENTIFIER			yA
OPERATOR			=
REAL			1.32
SEPARATOR			;
KEYWORD			int
IDENTIFIER			zC
OPERATOR			=
IDENTIFIER			multiply
SEPARATOR			(
IDENTIFIER			xA
SEPARATOR			,
IDENTIFIER			yB
SEPARATOR			)
SEPARATOR			;
KEYWORD			put
SEPARATOR			(
IDENTIFIER			zC
SEPARATOR			)
SEPARATOR			;
KEYWORD			$$
