Token			Lexeme
KEYWORD			$$
KEYWORD			int
IDENTIFIER			count
OPERATOR			=
INTEGER			0
SEPARATOR			;
KEYWORD			int
IDENTIFIER			aMeaninglessNumber
OPERATOR			=
INTEGER			0
SEPARATOR			;
KEYWORD			boolean
IDENTIFIER			is100x
OPERATOR			=
KEYWORD			true
SEPARATOR			;
KEYWORD			while
SEPARATOR			(
IDENTIFIER			is100x
SEPARATOR			)
SEPARATOR			{
IDENTIFIER			count
OPERATOR			=
INTEGER			2
OPERATOR			*
INTEGER			3
SEPARATOR			;
SEPARATOR			}
IDENTIFIER			aMeaninglessNumber
OPERATOR			=
IDENTIFIER			count
OPERATOR			*
INTEGER			2322222
SEPARATOR			;
KEYWORD			$$
